EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,88.85695760541614
23568,DegreeBranch,89.29019496120797
21490,MartialStatus,83.96097495657338
8363,,45.20119270539394
6165,Gender,80.39076088137142
17679,,47.5606355901848
9715,DegreeBranch,82.81911912536201
12591,,47.79816508600555
6140,,45.49924025715739
21018,,47.26878954178051
13221,DegreeBranch,82.54641430757509
23585,YearsOfExperince,82.97082970740067
22575,,78.58042158464723
6078,HighestDegree,91.1087621994971
24125,Gender,82.64506802802777
18073,,50.36526262938468
21420,,77.15883276752388
13218,YearsOfExperince,82.52618734509495
8728,,45.47434843462584
21541,,49.422722461538434
12905,YearsOfExperince,89.79105364516161
19873,Gender,81.54617656467494
6947,YearsOfExperince,90.15109067908229
19019,DegreeBranch,82.82959135305772
24372,,46.02222513959969
5298,Gender,81.5990218616183
18306,CurrentCompanyType,68.22919058753742
22877,,47.11600568061777
15511,,79.43698974128
11889,LatestDegreeCGPA,77.58076539787226
9848,Gender,81.9078470702753
4944,Gender,82.39277754559483
4689,CurrentCompanyType,72.76496192345138
24333,HighestDegree,91.02515019462109
12186,EmpScore,82.1030324043651
2936,DegreeBranch,83.38469929419392
5082,,46.25813462110013
22236,EmpScore,89.41112518313193
19221,HighestDegree,90.30655529193344
20858,DegreeBranch,74.11414736151508
16461,CurrentCompanyType,65.88944714303216
22064,,47.60022361306469
3175,DegreeBranch,82.82585881280198
18407,DegreeBranch,83.2368935848796
3684,Gender,81.98371043878305
2198,,51.13918886767701
7540,Gender,82.41970855901917
12700,DegreeBranch,89.39740466593776
17503,DegreeBranch,83.43213766214922
9153,,44.16158865342662
12564,,54.488107929456184
16511,Gender,83.00277761002455
16396,,46.839756375449895
6871,HighestDegree,83.38259899237723
9376,YearsOfExperince,83.44348574048254
7865,EmpScore,83.3857683963529
20616,,44.75879925330281
8839,DegreeBranch,89.848019752161
15788,DegreeBranch,90.61068520495753
10040,,78.44676065775677
6147,,48.27302697323485
24148,EmpScore,81.09055458833518
4187,,46.563651138423666
18097,,52.269730658209134
11617,DegreeBranch,84.31095302909034
3642,Gender,82.39266565692397
17990,,79.1451804532094
10677,DegreeBranch,82.96240816097847
2215,DegreeBranch,89.82349324886785
9784,EmpScore,83.57817918846156
13451,YearsOfExperince,82.2876448575827
16266,MartialStatus,83.01279698962244
19313,,71.09907579522768
16790,Gender,81.07996232534525
21204,,45.87233341770094
24019,LatestDegreeCGPA,56.41957800063426
14539,Gender,80.96009448685065
3123,HighestDegree,82.60036333266365
9647,HighestDegree,82.42239850848168
18930,YearsOfExperince,82.51782855515935
23676,,79.18012709916223
16808,,46.28143878045765
23101,Gender,82.76321660418854
3010,CurrentCompanyType,63.37864731273417
4544,DegreeBranch,80.96471008282249
22861,,46.48807200293621
10897,YearsOfExperince,90.41496639688158
13475,LatestDegreeCGPA,56.02713075635435
23461,EmpScore,90.9452577897196
19877,Gender,82.54695068011144
10949,,46.35731379272718
13759,Gender,82.0738579972568
9443,YearsOfExperince,82.34131283853026
5606,EmpScore,90.4580215933472
21658,Gender,82.21803569378199
9731,,48.14640624361241
16330,YearsOfExperince,80.95246778790356
18456,,77.82001123156282
22486,Gender,81.31654778416724
4900,Gender,81.33384212726301
12433,Gender,82.16892348147543
10757,DegreeBranch,83.07182598538095
20969,CurrentCompanyType,89.72352809413326
4565,,48.90307162747433
16117,EmpScore,83.0432673175973
22266,Gender,82.73234959098828
23691,DegreeBranch,82.51646197761053
14468,Gender,82.54372605841125
9433,DegreeBranch,90.26717836496547
2730,EmpScore,90.76714395423144
13205,YearsOfExperince,83.2787928019796
5829,,46.14759877999233
2418,Gender,82.37157015484445
2634,DegreeBranch,84.16228292269953
2693,Gender,81.06402986817821
22436,Gender,82.96215553666059
8840,Gender,82.39995766304428
4130,YearsOfExperince,80.838277654308
13577,YearsOfExperince,82.30626941654101
16463,Gender,80.54098755637376
15922,,72.74482381363019
16368,,49.850296523471904
18819,DegreeBranch,81.97876428276757
14057,EmpScore,81.68983628493224
12793,DegreeBranch,90.3797583614012
12592,YearsOfExperince,81.45278573000175
18919,Gender,81.23435204680521
20836,DegreeBranch,90.17483612496248
16849,,78.19774045947611
17458,Gender,81.78948752211019
3924,DegreeBranch,90.00660796711333
9026,EmpScore,83.22030317923779
6304,YearsOfExperince,83.00908829796661
12307,YearsOfExperince,85.75739968971192
17526,,46.12951943093838
11500,,49.81288302611269
11333,DegreeBranch,81.95248228738433
12156,DegreeBranch,90.63702973414112
